Date and time,Download,Upload,Ping
26/03/21 10:27,163.0336363,4.16577002,24.454
26/03/21 11:36,8.23164772,3.62592696,25.339
26/03/21 11:39,186.5553924,4.291178792,27.722
26/03/21 11:47,196.5911529,3.599761745,23.372
26/03/21 11:56,181.8943244,3.730012692,22.289
26/03/21 12:04,184.9126678,4.233471783,22.249
26/03/21 12:17,176.7435457,3.063903361,25.469
26/03/21 12:27,172.5223294,3.461238373,28.222
26/03/21 12:32,192.4535247,4.010122467,24.068
26/03/21 12:35,192.9735703,3.904107124,22.893
26/03/21 12:35,190.2714193,3.864097888,24.415
26/03/21 12:36,186.6244863,4.235235731,25.755
26/03/21 15:32,166.851,4.151,24
26/03/21 15:34,169.46,3.64,20
26/03/21 15:35,183.3530247,4.106804585,21.734
26/03/21 16:20,171.5449244,2.962959967,25.554
27/03/21 09:37,171.1718331,4.273274639,26.253
27/03/21 09:53,171.394457,4.386621242,24.534
27/03/21 16:28,133.8547422,3.969801813,20.23
27/03/21 16:30,128.755286,4.105196613,28.229
27/03/21 16:36,153.5577249,4.067663096,22.686
27/03/21 16:57,43.91584113,3.401809793,26.337
27/03/21 17:45,184.2177383,3.839831556,28.234
28/03/21 09:48,138.6525904,2.573357692,32.227
29/03/21 16:15,160.1594862,4.158896516,23.949
29/03/21 19:29,155.4551075,4.270041861,22.224
29/03/21 23:13,58.62485487,3.688484967,24.715
30/03/21 11:57,167.6951708,3.356558335,27.396
30/03/21 15:17,157.7452418,4.102471085,21.964
31/03/21 10:08,166.2923367,3.367834545,24.446
01/04/21 11:26,131.683385,4.207767192,29.157
02/04/21 10:14,158.3905367,3.953307836,22.281
04/04/21 14:14,55.45958266,3.418144636,25.347
05/04/21 07:49,123.5481387,3.976043801,19.965
20\06\21 19:53,144.4,6.99,21
20\06\21 19:55,117.43,6.36,25
20\06\21 20:01,103.06,6.97,21
20\06\21 20:49,165.96,7.43,20
20\06\21 20:51,142.21,7.18,27
21\06\21 10:01,156.36,7.68,26
21\06\21 10:11,165.84,7.67,18
21\06\21 10:14,194.22,7.73,21
21\06\21 10:15,223.95,8.00,20
21\06\21 10:16,151.67,7.36,23
21\06\21 10:17,149.62,7.64,18
21\06\21 10:18,186.05,7.32,23
21\06\21 10:24,167.58,7.30,20
21\06\21 10:27,197.89,6.45,20
21\06\21 11:44,198.63,6.37,22
21\06\21 11:50,147.79,7.14,21
21\06\21 11:55,172.38,7.15,25
21\06\21 16:52,33.41,5.20,22
21\06\21 16:57,38.60,6.87,31
22\06\21 15:52,86.25,9.99,29
23\06\21 16:25,4.20,9.63,48
25\06\21 08:52,70.77,9.54,25
25\06\21 08:55,149.63,8.58,21
25\06\21 14:49,107.40,9.62,34
27\06\21 16:42,35.67,6.34,33
28\06\21 17:25,96.18,6.92,26
29\06\21 08:02,109.88,6.42,27
29\06\21 16:49,151.65,7.12,23
30\06\21 16:28,1.99,4.69,40
01\07\21 16:09,13.57,4.03,46
02\07\21 12:34,112.63,6.82,25
03\07\21 09:32,70.88,6.66,26
03\07\21 18:08,52.02,7.03,30
05\07\21 16:14,151.44,9.54,29
06\07\21 16:42,36.97,9.03,30
08\07\21 16:01,166.52,6.66,27
09\07\21 10:10,82.51,7.08,27
09\07\21 11:03,176.40,7.42,21
10\07\21 12:25,8.65,6.65,51
11\07\21 16:28,8.35,6.14,33
12\07\21 16:04,41.15,7.28,29
13\07\21 16:34,133.41,9.53,38
14\07\21 08:32,111.15,9.83,19
14\07\21 12:02,110.19,9.30,25
15\07\21 08:58,51.88,7.83,19
15\07\21 09:18,120.38,8.85,23
22\07\21 09:33,9.74,4.85,205
23\07\21 10:44,5.24,6.77,35
24\07\21 08:24,7.80,4.22,66
24\07\21 11:15,61.16,8.96,40
25\07\21 17:47,56.63,8.42,26
27\07\21 18:19,101.02,9.91,22
30\07\21 19:36,163.33,7.20,25
31\07\21 08:26,148.93,5.52,21
01\08\21 08:21,151.37,3.88,20
05\08\21 16:52,89.60,5.82,54
06\08\21 06:39,3.50,6.44,39
07\08\21 09:02,149.91,5.57,26
07\08\21 11:31,135.22,6.45,26
08\08\21 07:53,158.94,7.82,27
08\08\21 09:03,162.62,6.84,24
09\08\21 08:34,161.89,7.34,26
12\08\21 09:04,10.55,6.35,29
15\08\21 10:48,5.81,8.00,33
17\08\21 07:56,120.33,7.05,30
17\08\21 08:00,207.06,7.84,23
18\08\21 08:40,87.44,7.29,22
24\08\21 18:12,63.06,5.94,29
25\08\21 21:06,51.20,5.95,30
28\08\21 13:35,58.52,10.10,21
30\08\21 08:53,131.11,6.68,18
01\09\21 08:12,142.23,7.63,22
03\09\21 02:31,50.88,5.39,24
05\09\21 21:17,81.14,6.90,53
06\09\21 06:38,146.56,7.07,22
07\09\21 16:47,90.12,8.86,22
13\09\21 08:20,148.31,8.60,21
13\09\21 13:13,121.55,10.06,20
14\09\21 08:28,111.43,9.25,22
15\09\21 07:45,147.86,9.93,24
15\09\21 14:45,24.79,6.88,30
18\09\21 13:31,47.06,9.59,23
18\09\21 15:18,62.83,9.84,21
19\09\21 12:39,173.07,10.03,19
20\09\21 07:40,47.33,10.00,21
22\09\21 12:21,397.84,99.54,11
22\09\21 12:22,447.21,99.05,12
22\09\21 12:56,388.48,99.36,11
